id,name,spotify_id,thumbnail
1,Tame Impala,5INjqkS1o8h1imAzPqGZBb,_opF2Dn6Fk4
8,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,_JZom_gVfuw
22,Lawrence,5rwUYLyUq8gBsVaOUcUxpE,WwxZi_ZK0mw
120,Moon Boots,,
140,Missy Elliot,,
25,Basement Jaxx,4YrKBkKSVeqDamzBPWVnSJ,Ucm-O93w91A
27,Bear's Den,0nJaMZM8paoA5HEUTUXPqi,q1MmYVcDyMs
69,Giraffage ,4kubsO16bEfCADaVUyoYb6,OrpXSly9gHY
28,Beat Culture,0BZ3BHzfYwpd3k5TDnvAz8,OhvH1pyVLzw
29,Ben Howard,5schNIzWdI9gJ1QRK8SBnc,x8ccDb6n5Wg
88,Jessy Lanza,4b99uGDv75xD1n2QHuPRDN,ZF2lZesYZo0
30,Beyonce,6vWDO969PvNqNYHIOW5v0m,2XY3AvVgDns
31,Big Sean,0c173mlxpT3dSFRgMO8XPh,cZaJYDPY-YQ
94,Kazy Lambist,41Ue54Vb6iWx2dcdRCM6oH,KLdriwU4mxk
40,Cajoline ,3oUnbJhEXJwswBJoZScors,U9UTyX-qqVY
41,Calvin Harris,7CajNmpbOovFoOoasH2HaY,cl3b7dDBLpo
91,Justice,2OTfr6S2kuHRYStjt1IkY6,Gxu248aD6PY
47,Chief WaKil,0eNpwvw4gRmgVDjx3uIqfR,5idPxzDg0VI
44,Charli XCX,25uiPmTg16RbhZWAqwLBy5,cHuRtBA5Esg
87,Jay-Z,3nFkdlSjzX9mRTtwJOzDYB,
48,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,dwUug-ucBLc
49,Chordashian,557CpM84Dx90EAXTDqDj9H,hZf_xexzN74
133,Metronomy,54QMjE4toDfiCryzYWCpXX,9PnOG67flRA
50,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,zKCrSN9oXgQ
56,Danny Brown,7aA592KWirLsnfb5ulGWvU,NHfWY0is3rE
139,Milky Chance,1hzfo8twXdOegF3xireCYs,r8BsuT0PWdI
57,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,JRfuAukYTKg
65,G-Eazy,02kJSzxNuaWGqwubyUba0Z,UI9WCl4Cd8E
156,Passion Pit,7gjAu1qr5C2grXeQFFOGeh,T0RvPYRRRbE
59,Dawn Golden,6MzxeKydmXufvX7HYPknFW,qwyzdWVDGZ4
71,Gotye,2AsusXITU8P25dlRNhcAbG,8UVNT4wvIGY
164,Rad Omen,2jmSHT5SGq5qAFWQ62kphd,Jl0G3uH71B8
76,Garden City Movement,3HrczLBDJXJu6dJWEMbKHa,vm3JMC2HiWc
99,Kilo Kish,7lsnwlX6puQ7lcpSEpJbZE,N385ebYi3Sw
124,MAGIC!,0DxeaLnv6SyYk2DOqkLO8c,PIh2xe4jnpk
70,Goldroom,4eZebkMFU3xelF8mbZYXyl,l35GTSbKMpY
100,King Krule,4wyNyxs74Ux8UIDopNjIai,hvZJI8rerWA
72,Great Good Fine OK,422RLznpwUa5FsQgnTlgUH,SyTchswHxhY
109,Lil Wayne,55Aa2cqylxrFIXC767Z865,_y_Xpps46Uc
111,Little Jackie,2TBPRVLhhMpMPwXL1MXMmv,129pN3dobGM
128,Mat Zo & Arty,6svjZqxAUnDpZc4QVFK22q,AwLzZoB6y8A
136,Miguel,360IAlyVv4PCEVjgyMZrxK,s-BW2gKnVz8
6,AfroJack and Steve Aoki,,ksocjhxX_DQ
145,Mt. Eden,3YAy9OUnnRsk2JLTaOLcw2,j37SniohwFA
147,Nervo,4j5KBTO4tk7up54ZirNGvK,NQq7tmwvjr8
35,Blood Diamonds and Grimes,,_GiEoLXC9nk
148,Nosaj Thing,0IVapwlnM3dEOiMsHXsghT,aPAkcB5JgYc
158,Pretty Lights,4iVhFmG8YCCEHANGeUUS9q,_Afy5B-rWoc
54,Cults,,c-jKfLXYQqw
137,Miles Fisher,70IDktZT57OWuwK0nOrJms,G29d6RDSK1c
77,Drake,3TVXtAsR1Inumwj472S9r4,hN-HKyBivTk
80,Edward Maya,,Or-GhD9nZkg
107,Le Youth,1Zz6NBe8UIZjm88TvehFtx,MGBj3LD-nko
75,Flight Facilities,,JI6fDb6IBmU
66,Ghost Loft,,WhmyWYmO3uA
81,Edward Sharpe,,4306i99LMXo
63,Disclosure,,ySqBdoS0Xo0
