artist_id,genre,genre_id,masterGenre_id
1,pop rap,7,4
1,rap,8,4
1,southern hip hop,61,4
1,trap music,63,4
2,escape room,53,1
2,vapor twitch,135,
3,dirty south rap,101,4
3,g funk,193,6
3,gangster rap,82,4
3,hip hop,87,4
3,pop rap,7,4
3,rap,8,4
3,southern hip hop,61,4
3,west coast rap,163,4
4,east coast hip hop,81,4
4,pop rap,7,4
4,rap,8,4
4,southern hip hop,61,4
4,trap music,63,4
5,deep indie r&b,79,3
5,escape room,53,1
5,indie r&b,23,6
6,rap,8,4
6,east coast hip hop,81,4
6,underground hip hop,83,4
7,dance pop,18,2
7,pop,4,2
8,big room,100,1
8,edm,1,1
8,house,3,1
8,electro house,2,1
8,progressive electro house,89,1
8,progressive house,95,1
9,underground pop rap,9,4
10,big room,100,1
10,dutch house,174,1
10,edm,1,1
10,electro house,2,1
10,house,3,1
10,progressive electro house,89,1
10,progressive house,95,1
11,indie pop,45,2
11,indie rock,46,3
11,indietronica,55,3
12,indie r&b,23,6
12,tropical house,26,1
12,pop,4,2
13,vapor twitch,135,
15,deep indie r&b,79,3
15,indie r&b,23,6
15,vapor pop,109,2
16,deep uplifting trance,159,1
16,progressive house,95,1
16,trance,139,1
16,progressive trance,146,1
16,uplifting trance,153,1
17,alternative rock,39,7
17,anti-folk,136,
17,chamber pop,40,2
17,dance-punk,90,1
17,chillwave,51,1
17,dream pop,52,2
17,experimental rock,128,7
17,freak folk,70,8
17,indie folk,5,3
17,indie pop,45,2
17,indie rock,46,3
17,lo-fi,47,1
17,indietronica,55,3
17,neo-psychedelic,71,3
17,new weird america,150,1
17,new rave,32,1
17,noise pop,72,2
17,noise rock,134,7
17,nu gaze,73,1
18,nu disco,38,1
19,alternative dance,27,2
19,alternative rock,39,7
19,anti-folk,136,
19,canadian indie,185,3
19,canadian pop,161,2
19,chamber pop,40,2
19,dance-punk,90,1
19,freak folk,70,8
19,folk-pop,42,2
19,garage rock,43,7
19,indie folk,5,3
19,indie pop,45,2
19,indie rock,46,3
19,indietronica,55,3
19,lo-fi,47,1
19,new rave,32,1
19,neo-psychedelic,71,3
19,noise pop,72,2
19,permanent wave,178,1
19,stomp and holler,50,
19,synthpop,33,1
20,garage rock,43,7
20,permanent wave,178,1
20,rock,112,7
20,indie rock,46,3
20,sheffield indie,186,3
21,swedish pop,85,2
21,tropical house,26,1
22,hip hop,87,4
22,pop rap,7,4
22,rap,8,4
22,southern hip hop,61,4
22,trap music,63,4
23,dirty south rap,101,4
23,hip hop,87,4
23,pop rap,7,4
23,southern hip hop,61,4
23,rap,8,4
23,trap music,63,4
23,underground pop rap,9,4
24,big room,100,1
24,edm,1,1
24,electro house,2,1
24,house,3,1
24,pop,4,2
24,progressive house,95,1
24,tropical house,26,1
25,bmore,179,1
25,escape room,53,1
25,dance pop,18,2
25,hip house,94,4
25,hip pop,58,2
25,pop,4,2
25,indie r&b,23,6
25,pop rap,7,4
26,crunk,96,4
26,dance pop,18,2
26,dirty south rap,101,4
26,hip hop,87,4
26,gangster rap,82,4
26,pop,4,2
26,pop rap,7,4
26,rap,8,4
26,southern hip hop,61,4
26,trap music,63,4
27,indie folk,5,3
27,folk-pop,42,2
27,modern blues,110,8
27,new americana,76,
27,stomp and holler,50,
28,alternative rock,39,7
28,chamber pop,40,2
28,folk-pop,42,2
28,freak folk,70,8
28,indie folk,5,3
28,indie pop,45,2
28,indie rock,46,3
28,lo-fi,47,1
28,singer-songwriter,77,8
28,stomp and holler,50,
29,alternative dance,27,2
29,big beat,28,1
29,disco house,29,1
29,electro house,2,1
29,electroclash,30,1
29,electronic,31,1
29,house,3,1
29,synthpop,33,1
29,new rave,32,1
29,trip hop,34,4
29,vocal house,35,1
30,alternative dance,27,2
30,chamber pop,40,2
30,chillwave,51,1
30,dream pop,52,2
30,folk-pop,42,2
30,freak folk,70,8
30,indie pop,45,2
30,indie folk,5,3
30,indie r&b,23,6
30,indie rock,46,3
31,indie folk,5,3
32,europop,88,2
32,hip house,94,4
33,folk-pop,42,2
33,neo mellow,48,3
34,electro house,2,1
34,progressive house,95,1
35,pop,4,2
