"""id""","""genre_1""","""genre_1_ID""","""genre_2""","""genre_2_ID""","""genre_3""","""genre_4"""
"""1""","""Chill""","""100""","""Ambient""","""200""","""""","""Ambient"""
"""2""","""Chill""","""100""","""Chill rap""","""201""","""""","""Chill rap"""
"""3""","""Chill""","""100""","""Dream""","""202""","""""","""Chill psychedelic"""
"""4""","""Chill""","""100""","""Indie chill""","""203""","""""","""Indie chill"""
"""5""","""Chill""","""100""","""Chill electronic""","""204""","""""","""Chill electronic"""
"""6""","""Chill""","""100""","""""","""205""","""""","""Downtempo"""
"""7""","""Chill""","""100""","""""","""205""","""""","""Downtemp"""
"""8""","""Electronic""","""101""","""Chill electronic""","""206""","""""","""Ambient"""
"""9""","""Electronic""","""101""","""Chill electronic""","""206""","""""","""Trip hop"""
"""10""","""Electronic""","""101""","""Chill electronic""","""206""","""""","""Wave"""
"""11""","""Electronic""","""101""","""Chill electronic""","""206""","""""","""Ambient """
"""12""","""Electronic""","""101""","""Chill electronic""","""206""","""""","""Chillwave"""
"""13""","""Electronic""","""101""","""Dance""","""207""","""Alternative""","""Alternative dance"""
"""14""","""Electronic""","""101""","""Dance""","""207""","""Dubstep""","""Dubstep"""
"""15""","""Electronic""","""101""","""Dance""","""207""","""Dubstep""","""Post-dubstep"""
"""16""","""Electronic""","""101""","""Dance""","""207""","""Jumpstyle""","""Melbourne bounce"""
"""17""","""Electronic""","""101""","""Dance""","""207""","""""","""Dance"""
"""18""","""Electronic""","""101""","""Dance""","""207""","""EDM""","""EDM"""
"""19""","""Electronic""","""101""","""Dance""","""207""","""""","""Electro house"""
"""20""","""Electronic""","""101""","""Dance""","""207""","""""","""Drum and bass"""
"""21""","""Electronic""","""101""","""Dance""","""207""","""""","""Electronic dance music"""
"""22""","""Electronic""","""101""","""Synthpop""","""208""","""""","""New wave"""
"""23""","""Electronic""","""101""","""Synthpop""","""208""","""""","""Nu-rock"""
"""24""","""Electronic""","""101""","""Experimental""","""209""","""""","""IDM"""
"""25""","""Electronic""","""101""","""Experimental""","""209""","""""","""Experimental"""
"""26""","""Electronic""","""101""","""Indie electronica""","""210""","""""","""Folktronica"""
"""27""","""Electronic""","""101""","""Hip hop""","""211""","""Chill""","""Trip hop"""
"""28""","""Electronic""","""101""","""Hip hop""","""211""","""House""","""Hip house"""
"""29""","""Electronic""","""101""","""House""","""212""","""Deep house""","""Deep house"""
"""30""","""Electronic""","""101""","""House""","""212""","""Tropical""","""Tropical house"""
"""31""","""Electronic""","""101""","""House""","""212""","""""","""House"""
"""32""","""Electronic""","""101""","""House""","""212""","""""","""Electro house"""
"""33""","""Electronic""","""101""","""House""","""212""","""""","""Progressive house"""
"""34""","""Electronic""","""101""","""House""","""212""","""""","""Big beat"""
"""35""","""Electronic""","""101""","""House""","""212""","""""","""Tech house"""
"""36""","""Electronic""","""101""","""House""","""212""","""""","""Electro house"""
"""37""","""Electronic""","""101""","""House""","""212""","""""","""House music"""
"""38""","""Electronic""","""101""","""House""","""212""","""""","""Electro house"""
"""39""","""Electronic""","""101""","""Indie electronica""","""213""","""""","""Indietronica"""
"""40""","""Electronic""","""101""","""Indie electronica""","""213""","""""","""Electro-indie"""
"""41""","""Electronic""","""101""","""Indie electronica""","""213""","""""","""Indielectronica"""
"""42""","""Electronic""","""101""","""Nu-disco""","""214""","""""","""Nu-disco"""
"""43""","""Electronic""","""101""","""Nu-disco""","""214""","""""","""Electric disco"""
"""44""","""Electronic""","""101""","""Dance""","""215""","""""","""Nu-jazz"""
"""45""","""Electronic""","""101""","""Synthpop""","""216""","""""","""Synthpop"""
"""46""","""Electronic""","""101""","""Synthpop""","""216""","""""","""Electropop"""
"""47""","""Electronic""","""101""","""Synthpop""","""216""","""""","""Synthpop"""
"""48""","""Electronic""","""101""","""Synthpop""","""216""","""""","""Futurepop"""
"""49""","""Electronic""","""101""","""Dance""","""217""","""""","""Rave"""
"""50""","""Electronic""","""101""","""Indie electronica""","""218""","""""","""Electronic rock"""
"""51""","""Electronic""","""101""","""Dance""","""219""","""Chill""","""Minimal techno"""
"""52""","""Electronic""","""101""","""Dance""","""219""","""""","""Techno"""
"""53""","""Electronic""","""101""","""Dance""","""219""","""""","""Electroclash"""
"""54""","""Electronic""","""101""","""Dance""","""219""","""""","""Trance"""
"""55""","""Electronic""","""101""","""Dance""","""219""","""""","""Big room trance"""
"""56""","""Electronic""","""101""","""""","""220""","""""","""Electronic"""
"""57""","""Electronic""","""101""","""""","""220""","""""","""Electronica"""
"""58""","""Electronic""","""101""","""""","""220""","""""","""Electric"""
"""59""","""Hip hop""","""102""","""Dream rap""","""221""","""""","""Dream rap"""
"""60""","""Hip hop""","""102""","""Electro rap""","""222""","""Chill""","""Trip hop"""
"""61""","""Hip hop""","""102""","""Electro rap""","""222""","""""","""Hip house"""
"""62""","""Hip hop""","""102""","""Experimental hip hop""","""223""","""""","""Turntablism"""
"""63""","""Hip hop""","""102""","""Experimental hip hop""","""223""","""""","""Experimental hip hop"""
"""64""","""Hip hop""","""102""","""Gangsta rap""","""224""","""""","""Hardcore hip hop"""
"""65""","""Hip hop""","""102""","""Jazz rap""","""225""","""""","""Jazz rap"""
"""66""","""Hip hop""","""102""","""Pop rap""","""226""","""""","""Pop-rap"""
"""67""","""Hip hop""","""102""","""Soul""","""227""","""""","""R&B"""
"""68""","""Hip hop""","""102""","""Gangsta rap""","""228""","""""","""Southern rap"""
"""69""","""Hip hop""","""102""","""Gangsta rap""","""228""","""""","""Gangsta rap"""
"""70""","""Hip hop""","""102""","""Soul""","""229""","""Alternative""","""Alternative R&B"""
"""71""","""Hip hop""","""102""","""Soul""","""229""","""Alternative""","""PBR&B"""
"""72""","""Hip hop""","""102""","""Soul""","""229""","""""","""Blue eyed soul"""
"""73""","""Hip hop""","""102""","""Soul""","""229""","""""","""Funk"""
"""74""","""Hip hop""","""102""","""Soul""","""229""","""""","""R&B"""
"""75""","""Hip hop""","""102""","""Soul""","""229""","""""","""Soul"""
"""76""","""Hip hop""","""102""","""Soul""","""229""","""""","""Blues"""
"""77""","""Hip hop""","""102""","""Gangsta rap""","""230""","""""","""Trap"""
"""78""","""Hip hop""","""102""","""""","""231""","""""","""Hip hop"""
"""79""","""Hip hop""","""102""","""""","""231""","""""","""Rap"""
"""80""","""Hip hop""","""102""","""""","""231""","""""","""Horrorcore"""
"""81""","""Hip hop""","""102""","""""","""231""","""""","""Underground hip hop"""
"""82""","""Hip hop""","""102""","""""","""231""","""""","""Hip hop"""
"""83""","""Indie""","""103""","""Indie electronica""","""232""","""""","""Electro-indie"""
"""84""","""Indie""","""103""","""Indie electronica""","""232""","""""","""Indielectronica"""
"""85""","""Indie""","""103""","""Indie electronica""","""232""","""""","""Folktronica"""
"""86""","""Indie""","""103""","""Indie experimental""","""233""","""""","""Freak folk"""
"""87""","""Indie""","""103""","""Indie electronica""","""234""","""""","""Indie folk"""
"""88""","""Indie""","""103""","""Indie psychedelic""","""235""","""""","""Psychedelic folk"""
"""89""","""Indie""","""103""","""Indie psychedelic""","""235""","""""","""New Weird America"""
"""90""","""Indie""","""103""","""Indie rock""","""236""","""""","""Post-punk"""
"""91""","""Indie""","""103""","""Jazz""","""237""","""""","""Punk jazz"""
"""92""","""Indie""","""103""","""Jazz""","""237""","""""","""Jazz fusion"""
"""93""","""Indie""","""103""","""""","""238""","""""","""Neo folk"""
"""94""","""Indie""","""103""","""Indie pop""","""239""","""""","""Alternative pop"""
"""95""","""Indie""","""103""","""Indie rock""","""240""","""""","""Ambient indie rock"""
"""96""","""Indie""","""103""","""""","""241""","""""","""Indie"""
"""97""","""Pop""","""104""","""Dance pop""","""242""","""""","""Dance-pop"""
"""98""","""Pop""","""104""","""Dance pop""","""242""","""""","""Dance pop"""
"""99""","""Pop""","""104""","""Dream pop""","""243""","""""","""Dream pop"""
"""100""","""Pop""","""104""","""Dream pop""","""243""","""""","""Dreampop"""
"""101""","""Pop""","""104""","""Electropop""","""244""","""""","""Electropop"""
"""102""","""Pop""","""104""","""Electropop""","""244""","""""","""New wave"""
"""103""","""Pop""","""104""","""Experimental pop""","""245""","""""","""Experimental pop"""
"""104""","""Pop""","""104""","""Indie pop""","""246""","""""","""Indie pop"""
"""105""","""Pop""","""104""","""Indie pop""","""246""","""""","""Alternative pop"""
"""106""","""Pop""","""104""","""Pop-rap""","""247""","""""","""Pop-rap"""
"""107""","""Pop""","""104""","""Psychadelic pop""","""248""","""""","""Psychadelic pop"""
"""108""","""Pop""","""104""","""Psychadelic pop""","""248""","""""","""Psychedelic pop"""
"""109""","""Pop""","""104""","""Pop rock""","""249""","""""","""Baroque pop"""
"""110""","""Pop""","""104""","""Pop rock""","""249""","""""","""Pop rock"""
"""111""","""Pop""","""104""","""""","""250""","""""","""Pop"""
"""112""","""Pop""","""104""","""Indie pop""","""251""","""""","""Hipster pop"""
"""113""","""Psychedelic""","""105""","""Psychedelic pop""","""252""","""""","""Psychedelic pop"""
"""114""","""Psychedelic""","""105""","""Psychedelic folk""","""253""","""""","""Psychedelic folk"""
"""115""","""Psychedelic""","""105""","""Psychedelic folk""","""253""","""""","""New Weird America"""
"""116""","""Psychedelic""","""105""","""Psychedelic rock""","""254""","""""","""Pyschedelic rock"""
"""117""","""Psychedelic""","""105""","""Psychedelic rock""","""254""","""""","""Neo-psychedelia"""
"""118""","""Psychedelic""","""105""","""Psychedelic rock""","""254""","""""","""Psychadelic rock"""
"""119""","""Psychedelic""","""105""","""Psychedelic rock""","""254""","""""","""Psychedelic rock"""
"""120""","""Psychedelic""","""105""","""Psychedelic rock""","""254""","""""","""Neo-psychadelia"""
"""121""","""Psychedelic""","""105""","""Psychedelic pop""","""255""","""""","""Psychadelic pop"""
"""122""","""Psychedelic""","""105""","""Psychedelic hip hop""","""256""","""""","""Psychedelic hip hop"""
"""123""","""Retro""","""106""","""Disco""","""257""","""""","""Disco"""
"""124""","""Retro""","""106""","""Jazz""","""258""","""""","""Funk"""
"""125""","""Retro""","""106""","""Jazz""","""258""","""""","""Retro jazz"""
"""126""","""Retro""","""106""","""""","""259""","""""","""Retro"""
"""127""","""Retro""","""106""","""Rock""","""260""","""""","""Retro rock"""
"""128""","""Retro""","""106""","""90s""","""261""","""""","""Retro 90s"""
"""129""","""Rock""","""107""","""Alternative rock""","""262""","""""","""Noise pop"""
"""130""","""Rock""","""107""","""Alternative rock""","""262""","""""","""Post-punk revival"""
"""131""","""Rock""","""107""","""Alternative rock""","""262""","""""","""Alternative rock"""
"""132""","""Rock""","""107""","""Alternative rock""","""262""","""""","""Space rock"""
"""133""","""Rock""","""107""","""Country""","""263""","""""","""Country"""
"""134""","""Rock""","""107""","""Electronic rock""","""264""","""""","""Electronic rock"""
"""135""","""Rock""","""107""","""Experimental rock""","""265""","""""","""Experimental rock"""
"""136""","""Rock""","""107""","""Indie rock""","""266""","""""","""Folk rock"""
"""137""","""Rock""","""107""","""""","""267""","""""","""Post-punk revival"""
"""138""","""Rock""","""107""","""""","""267""","""""","""Garage rock"""
"""139""","""Rock""","""107""","""""","""267""","""""","""Hard rock"""
"""140""","""Rock""","""107""","""Indie rock""","""268""","""""","""Indie rock"""
"""141""","""Rock""","""107""","""Indie rock""","""268""","""""","""Post-punk revival"""
"""142""","""Rock""","""107""","""Indie rock""","""268""","""""","""Lo-fi"""
"""143""","""Rock""","""107""","""Pop rock""","""269""","""""","""Baroque pop"""
"""144""","""Rock""","""107""","""Pop rock""","""269""","""""","""Pop rock"""
"""145""","""Rock""","""107""","""Psychedelic rock""","""270""","""""","""Neo-psychedelia"""
"""146""","""Rock""","""107""","""Psychedelic rock""","""270""","""""","""Psychadelic rock"""
"""147""","""Rock""","""107""","""Psychedelic rock""","""270""","""""","""Psychedelic rock"""
"""148""","""Rock""","""107""","""Psychedelic rock""","""270""","""""","""Pyschedelic rock"""
