genre_id,genre,masterGenre_id,masterGenre
1,edm,1,Electronic
2,electro house,1,Electronic
3,house,1,Electronic
4,pop,2,Pop
5,indie folk,8,Folk
6,stomp and flutter,3,Indie
7,pop rap,,Rap
8,rap,,Rap
9,underground pop rap,4,Hip Hop
10,contemporary country,5,Country
11,country,5,Country
12,country christmas,5,Country
13,country road,5,Country
14,country rock,5,Country
15,outlaw country,5,Country
16,traditional country,5,Country
17,texas country,5,Country
18,dance pop,2,Pop
19,pop christmas,2,Pop
20,r&b,6,R&B
21,soul christmas,6,R&B
22,candy pop,2,Pop
23,indie r&b,6,R&B
24,metropopolis,2,Pop
25,post-teen pop,2,Pop
26,tropical house,1,Electronic
27,alternative dance,2,Pop
28,big beat,1,Electronic
29,disco house,1,Electronic
30,electroclash,1,Electronic
31,electronic,1,Electronic
32,new rave,1,Electronic
33,synthpop,1,Electronic
34,trip hop,4,Hip Hop
35,vocal house,1,Electronic
36,aussietronica,1,Electronic
37,australian dance,2,Pop
38,nu disco,1,Electronic
39,alternative rock,7,Rock
40,chamber pop,2,Pop
41,folk christmas,8,Folk
42,folk-pop,8,Folk
43,garage rock,7,Rock
44,indie christmas,3,Indie
45,indie pop,3,Indie
46,indie rock,3,Indie
47,lo-fi,7,Rock
48,neo mellow,3,Indie
49,pop rock,7,Rock
50,stomp and holler,,
51,chillwave,1,Electronic
52,dream pop,2,Pop
53,escape room,,
54,grave wave,,
55,indietronica,3,Indie
56,shimmer pop,2,Pop
57,fingerstyle,,
58,hip pop,4,Hip Hop
59,neo soul,6,R&B
60,urban contemporary,,
61,southern hip hop,4,Hip Hop
62,detroit hip hop,4,Hip Hop
63,trap music,4,Hip Hop
64,glitch hop,4,Hip Hop
65,ninja,,
66,wonky,,
67,nu jazz,1,Electronic
68,turntablism,1,Electronic
69,brooklyn indie,3,Indie
70,freak folk,8,Folk
71,neo-psychedelic,3,Indie
72,noise pop,2,Pop
73,nu gaze,1,Electronic
74,gauze pop,2,Pop
75,la indie,3,Indie
76,new americana,,
77,singer-songwriter,8,Folk
78,german pop,2,Pop
79,deep indie r&b,3,Indie
80,australian alternative rock,7,Rock
81,east coast hip hop,4,Hip Hop
82,gangster rap,4,Hip Hop
83,underground hip hop,4,Hip Hop
84,punk christmas,7,Rock
85,swedish pop,2,Pop
86,metalcore,7,Rock
87,hip hop,4,Hip Hop
88,europop,2,Pop
89,progressive electro house,1,Electronic
90,dance-punk,7,Rock
91,electropowerpop,1,Electronic
92,german techno,1,Electronic
93,filter house,1,Electronic
94,hip house,4,Hip Hop
95,progressive house,1,Electronic
96,crunk,4,Hip Hop
97,downtempo,,
98,pop punk,7,Rock
99,eurodance,1,Electronic
100,big room,1,Electronic
101,dirty south rap,4,Hip Hop
102,indie poptimism,3,Indie
103,bubblegum dance,1,Electronic
104,french indietronica,1,Electronic
105,screamo,7,Rock
106,viral pop,2,Pop
107,future garage,7,Rock
108,alternative hip hop,4,Hip Hop
109,vapor pop,2,Pop
110,modern blues,,
111,post-grunge,7,Rock
112,rock,7,Rock
113,post rock,7,Rock
114,instrumental post rock,7,Rock
115,atmospheric post rock,7,Rock
116,israeli rock,7,Rock
117,mizrahi,7,Rock
118,indie dream pop,3,Indie
119,indie psych-pop,3,Indie
120,shimmer psych,3,Indie
121,shiver pop,2,Pop
122,bass music,,
123,microhouse,1,Electronic
124,grime,7,Rock
125,psychedelic rock,7,Rock
126,power pop,2,Pop
127,minimal dub,,
128,experimental rock,7,Rock
129,space rock,7,Rock
130,lift kit,,
131,moombahton,,
132,etherpop,2,Pop
133,norwegian pop,2,Pop
134,noise rock,7,Rock
135,vapor twitch,,
136,anti-folk,,
137,deep underground hip hop,4,Hip Hop
138,slow core,,
139,trance,1,Electronic
140,modern country rock,7,Rock
141,blues-rock,7,Rock
142,ok indie,3,Indie
143,albuquerque indie,3,Indie
144,glitch,3,Indie
145,irish rock,7,Rock
146,progressive trance,1,Electronic
147,electronic trap,1,Electronic
148,electro,1,Electronic
149,breakbeat,1,Electronic
150,new weird america,,
151,memphis hip hop,4,Hip Hop
152,kiwi rock,4,Hip Hop
153,uplifting trance,1,Electronic
154,deep trap,4,Hip Hop
155,electrofox,1,Electronic
156,complextro,,
157,brostep,,
158,vapor soul,6,R&B
159,deep uplifting trance,1,Electronic
160,icelandic pop,2,Pop
161,canadian pop,2,Pop
162,deep groove house,1,Electronic
163,west coast rap,4,Hip Hop
164,soul,6,R&B
165,piano rock,7,Rock
166,vegas indie,3,Indie
167,acid jazz,,
168,uk funky,6,R&B
169,hardcore hip hop,4,Hip Hop
170,british indie rock,3,Indie
171,funk rock,7,Rock
172,electro swing,1,Electronic
173,chillstep,1,Electronic
174,dutch house,1,Electronic
175,fake,,
176,alternative metal,7,Rock
177,funk metal,7,Rock
178,permanent wave,,
179,bmore,,
180,intelligent dance music,1,Electronic
181,perth indie,3,Indie
182,funk,6,R&B
183,abstract hip hop,4,Hip Hop
184,deep funk,6,R&B
185,canadian indie,3,Indie
186,sheffield indie,3,Indie
187,broken beat,,
188,talent show,,
189,uk garage,7,Rock
190,dubstep,1,Electronic
191,retro electro,1,Electronic
192,pop house,1,Electronic
193,g funk,6,R&B
194,nu metal,7,Rock
