pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_7,pop_week,vid,song_id,updated_at,pop_trending
5940492,0,0,0,0,0,0,5940492,kpxBgrJFPOA,,2016-05-02 00:00:26,1
205938,205845,205675,205503,205428,205225,205032,906,RnGCoQe-hzU,,2017-01-29 00:01:02,44
7202,7198,7187,7183,7179,7177,7172,30,isQlpw57L1M,,2017-01-29 00:01:02,42
43634126,43622606,43600983,43582432,43573492,43550520,43528583,105543,QjlFqgRbICY,,2017-01-29 00:01:02,24
63184,63111,62940,62756,62644,62404,62195,989,yjcS674AgOQ,,2017-01-29 00:01:02,159
68735990,68585322,68369772,68180492,68069943,67759511,67496270,1239720,Vnoz5uBEWOA,,2017-01-29 00:01:02,184
77800049,77731590,77605190,77489380,77436544,77305298,77183185,616864,fe4EK4HSPkI,,2017-01-29 00:01:02,80
4635335,4624193,4604884,4587406,4577367,4549371,4524119,111216,EWb8oUwubWg,,2017-01-29 00:01:02,246
1961613,1958043,1949717,1942222,1938652,1930249,1921562,40051,62ST_xsaZUI,,2017-01-29 00:01:02,208
6425986,6349365,6230229,6108152,6050832,5885735,5741836,684150,9rx0eqQl8wk,,2017-01-29 00:01:02,1192
19645361,19628055,19591675,19563760,19549838,19514784,19482379,162982,5Euj9f3gdyM,,2017-01-29 00:01:02,84
301337778,301157252,300767600,300386133,300194703,299772340,299316597,2021181,Bag1gUxuU0g,,2017-01-29 00:01:02,68
53119755,53111587,53097730,53084879,53078462,53064083,53050019,69736,EeTPi2a2Ld4,,2017-01-29 00:01:02,13
2040080,2038878,2036935,2035363,2034565,2032709,2030750,9330,ktIgwt92WNA,,2017-01-29 00:01:02,46
1090231343,1085643165,1076204198,1067989215,1063737158,1053257832,1043111333,47120010,PT2_F-1esPk,,2017-01-29 00:01:02,452
701747,701442,700986,700565,700358,699871,699464,2283,NGBeLPJTLzE,,2017-01-29 00:01:02,33
2442166,2435958,2427413,2419484,2415480,2405353,2396267,45899,fKurEvAW4O0,,2017-01-29 00:01:02,192
25001663,24975415,24924315,24878242,24855948,24808657,24755432,246231,3BwzP1laWkQ,,2017-01-29 00:01:02,99
57541066,57459681,57286859,57116474,57020773,56820252,56634596,906470,I0MT8SwNa_U,,2017-01-29 00:01:02,160
389654026,385889302,379944133,374157287,370941359,363333117,356273494,33380532,UqyT8IEBkvY,,2017-01-29 00:01:02,937
59437805,59337994,59148219,58983785,58898916,58705488,58508070,929735,ExVtrghW5Y4,,2017-01-29 00:01:02,159
1858836667,1857742259,1855927407,1854191620,1853258940,1851299553,1849271495,9565172,YQHsXMglC9A,,2017-01-29 00:01:02,52
13816438,13765850,13679645,13596235,13558749,13474343,13383858,432580,LR3GQfryp9M,,2017-01-29 00:01:02,323
13708870,13699264,13682204,13666793,13657572,13640166,13623332,85538,7ZfCUM1uyvw,,2017-01-29 00:01:02,63
359694717,357047867,352422552,348102701,345799816,339756257,334618723,25075994,b8m9zhNAgKs,,2017-01-29 00:01:02,749
403869044,403423048,402564111,401790534,401388467,400437227,399535680,4333364,bpOSxM0rNPM,,2017-01-29 00:01:02,108
576019,568705,556104,542745,537509,525265,518610,57409,X6HGorQ29sM,,2017-01-29 00:01:02,1107
172613,172563,172452,172362,172312,172173,172100,513,bov2Bl0WPAk,,2017-01-29 00:01:02,30
2349642,2347539,2343904,2339893,2337820,2333702,2329168,20474,nAzjmDZD4aY,,2017-01-29 00:01:02,88
37021,37010,36979,36960,36952,36925,36891,130,pcMu2A7vtMY,,2017-01-29 00:01:02,35
2572823,2571798,2570138,2568573,2567727,2565732,2563852,8971,Vhh-XF01Ats,,2017-01-29 00:01:02,35
85991136,85871693,85646400,85451787,85349564,85119441,84871299,1119837,tG35R8F2j8k,,2017-01-29 00:01:02,132
28700835,28676507,28632084,28590530,28571945,28529348,28483864,216971,PmN9rZW0HGo,,2017-01-29 00:01:02,76
959242,958949,958296,957695,957337,956611,955881,3361,HM04bKL4oq4,,2017-01-29 00:01:02,35
688189,688058,687847,687648,687560,687324,687093,1096,RZNvjaJZVMg,,2017-01-29 00:01:02,16
172156181,172112405,172030084,171953025,171911568,171821879,171736537,419644,dGghkjpNCQ8,,2017-01-29 00:01:02,24
58285173,58253404,58199309,58152318,58129876,58066952,58005250,279923,FEKEjpTzB0Q,,2017-01-29 00:01:02,48
6550322,6541955,6527044,6512311,6504558,6489260,6473619,76703,tZ5Mu2gs-M8,,2017-01-29 00:01:02,118
943238251,942688352,941801853,940942605,940551916,939461246,938514473,4723778,gCYcHz2k5x0,,2017-01-29 00:01:02,50
1650343,1634036,1604078,1579253,1566940,1535435,1505282,145061,-OqrcUvrbRY,,2017-01-29 00:01:02,964
