id,vid,name,artist,genre,tages,created_at,,staff,likes,director
24,NGBeLPJTLzE,Say My Name (Cyril Hahn Remix),Cyril Hahn,", electronic,",,12/25/15 0:00,,0,0,
113,e2QKlmMT8II,I'm Different,2 Chainz,", hip hop,",,12/25/15 0:00,,0,0,
248,2reEeG2Ho_g,G.O.O.D. Morning,2 Chainz,", hip hop,",,12/25/15 0:00,,0,0,
397,65oZD-7gJYE,Kodama,20syl,", rap, jazz rap, turntablism,",chill/electronic,12/25/15 0:00,,0,0,
249,nAQVGx1vzrk,Fuckin' Problems,A$AP Rocky,", hip hop, cloud rap,",,12/25/15 0:00,,0,0,
145,5v6JUzxWoGw,Multiply,A$AP Rocky,", hip hop, cloud rap,",,12/25/15 0:00,,0,0,
199,58RSC7HO9aU,Easy Rider,Action Bronson,", hip hop,",,12/25/15 0:00,,0,0,
387,bVP_w1rQweE,Baby Blue,Action Bronson feat. Chance The Rapper,", hip hop,",,12/25/15 0:00,,0,0,
52,86vDxRr2ELA,Teenage Crimes,Adrian Lux,", techno, house,",,12/25/15 0:00,,0,0,
51,ksocjhxX_DQ,No Beef,AfroJack and Steve Aoki,", electro house,",,12/25/15 0:00,,0,0,
203,oLpswbCMtKU,"I'm The Man, That Will Find You",Alice Russell,", blue eyed soul, funk, jazz,",,12/25/15 0:00,,0,0,
70,aNYjOVo5IEw,Something Good,Alt-J,", indie rock, indie pop, art rock, folktronica,",,12/25/15 0:00,,0,0,
10,dCCXq9QB-dQ,Hunger of the Pine,Alt-J,", indie rock, indie pop, art rock, folktronica,",arrows/forest/running,12/25/15 0:00,,0,0,
102,#NAME?,Every Other Freckle,Alt-J,", indie rock, indie pop, art rock, folktronica,",,12/25/15 0:00,,0,0,
101,rVeMiVU77wo,Breezeblocks,Alt-J,", indie rock, indie pop, art rock, folktronica,",,12/25/15 0:00,,0,0,
359,npvNPORFXpc,Fitzpleasure,Alt-J,", indie rock, indie pop, art rock, folktronica,",,12/25/15 0:00,,0,0,
229,FWR9MR5juWI,You Know You Like It,AlunaGeorge,", synthpop, trip hop, r&b, uk garage,",,12/25/15 0:00,,0,0,
230,VfCSx5641U4,"Your Drums, Your Love",AlunaGeorge,", synthpop, trip hop, r&b, uk garage,",,12/25/15 0:00,,0,0,
231,Vhh-XF01Ats,Best Be Believing,AlunaGeorge,", synthpop, trip hop, r&b, uk garage,",,12/25/15 0:00,,0,0,
232,iDAScB0kacU,Just A Touch,AlunaGeorge,", synthpop, trip hop, r&b, uk garage,",,12/25/15 0:00,,0,0,
233,cmXZuv5BaHg,You Know You Like It,AlunaGeorge,", synthpop, trip hop, r&b, uk garage,",,12/25/15 0:00,,0,0,
210,qYqjOcsXjMI,M.O.P.E.,Ambassadeurs,", electronic, chill,",,12/25/15 0:00,,0,0,
305,Fdtv3vNhuMM,You've Never Been Alone (TEPR Remix),Andrea Balency,", folk, indie, electronic,",,12/25/15 0:00,,0,0,
38,93HWMspjxqI,One in a Million,Andrew Rayel,", trance, big room trance,",,12/25/15 0:00,,0,0,
386,zol2MJf6XNE,My Girls,Animal Collective,", experimental pop, psychadelic pop, freak folk, electronic, noise pop, neo-psychedelia,",,12/25/15 0:00,,0,0,
215,KxJdMhfn9g4,I Met You,Anna Lunoe ,", dance,",,12/25/15 0:00,,0,0,
121,hRXc_-c_9Xc,We Exist,Arcade Fire,", indie rock, art rock, baroque pop, post-punk revival,",,12/25/15 0:00,,0,0,
281,5Euj9f3gdyM,The Suburbs,Arcade Fire,", indie rock, art rock, baroque pop, post-punk revival,",,12/25/15 0:00,,0,0,
282,9oI27uSzxNQ,Ready to Start,Arcade Fire,", indie rock, art rock, baroque pop, post-punk revival,",,12/25/15 0:00,,0,0,
283,NuSbELCNloc,Sprawl II (Mountains Beyond Mountains),Arcade Fire,", indie rock, art rock, baroque pop, post-punk revival,",,12/25/15 0:00,,0,0,
327,ToNBGOoE3S4,The Suburbs (Mr. Little Jeans Remix),Arcade Fire,", indie rock, art rock, baroque pop, post-punk revival,",,12/25/15 0:00,,0,0,
328,hv1514WChRw,Sprawl II (Soulwax Remix),Arcade Fire,", indie rock, art rock, baroque pop, post-punk revival,",,12/25/15 0:00,,0,0,
242,H8tLS_NOWLs,Snap Out of It,Arctic Monkeys,", indie rock, psychadelic rock, post-punk revival,",,12/25/15 0:00,,0,0,
374,FFhs6_b8tzs,Feel I Bring,Aer,", hip hop, alternative, rap, reggae, pop,",,12/25/15 0:00,,0,0,
