id,vid,name,artist,genre,tags,created_at,updated_at,staff,likes,director,lists
1,NK2FqPNIT_U,All Gold Everything,Trinidad James,Rap,hood/thug/hip-hop/atlanta,,2015-09-29 03:48:19.923941,0,0,,""
19,30RLLTGrgxU,Sauna,Casey Veggies,Rap,sauna/steam/hip-hop,,2015-09-29 03:48:19.923941,0,0,,""
20,L4GrDOOIIbk,"10,000 Emerald Pools",BORNS,Alternative,water/pool/swimming,,2015-09-29 03:48:19.923941,0,0,,""
25,s-BW2gKnVz8,Do You,Miguel,,,,2015-09-29 03:48:19.923941,0,0,,""
29,Y7y0iEQ_4iE,Snow in Newark,Ryan Hemsworth,,,,2015-09-29 03:48:19.923941,0,0,,""
34,b7xRNspm1Sg,With You,Flight Facilities,,,,2015-09-29 03:48:19.923941,0,0,,""
36,PDboaDrHGbA,Greyhound,Swedish House Mafia,,,,2015-09-29 03:48:19.923941,0,0,,""
37,jzy2dgEUOhY,Infinity,Guru Josh Project,,,,2015-09-29 03:48:19.923941,0,0,,""
38,93HWMspjxqI,One in a Million,Andrew Rayel feat. Johnathan Mendelsohn,,,,2015-09-29 03:48:19.923941,0,0,,""
42,ebXbLfLACGM,Summer,Calvin Harris,,,,2015-09-29 03:48:19.923941,0,0,,""
43,akhmS1D2Ce4,"Summertime Sadness (Cedric Gervais Remix),",Lana Del Rey,,,,2015-09-29 03:48:19.923941,0,0,,""
44,IxxstCcJlsc,Clarity,Zedd,,,,2015-09-29 03:48:19.923941,0,0,,""
45,Jrd25gjyDhE,Seek Bromance,Avicii,,,,2015-09-29 03:48:19.923941,0,0,,""
46,TFXlWfzW9Uo,Sunlight,The Magician,,,,2015-09-29 03:48:19.923941,0,0,,""
47,bkk2H3Ztrfk,White Noise,Disclosure,,,,2015-09-29 03:48:19.923941,0,0,,""
48,KJRaKhURMEA,Happy Violence,Dada Life,,,,2015-09-29 03:48:19.923941,0,0,,""
49,AwLzZoB6y8A,Mozart,Mat Zo & Arty,,,,2015-09-29 03:48:19.923941,0,0,,""
51,ksocjhxX_DQ,No Beef,AfroJack and Steve Aoki,,,,2015-09-29 03:48:19.923941,0,0,,""
52,86vDxRr2ELA,Teenage Crimes,Adrian Lux,,,,2015-09-29 03:48:19.923941,0,0,,""
53,Wv2AQahZwMc,"Shot at Night (Cazzette Remix),",The Killers,,,,2015-09-29 03:48:19.923941,0,0,,""
54,MGBj3LD-nko,Cool,Le Youth,,,,2015-09-29 03:48:19.923941,0,0,,""
55,Ra9lFNglvIQ,All My Life,Gigamesh,,,,2015-09-29 03:48:19.923941,0,0,,""
57,NyPtlOoCmV4,My Friends Never Die,Odesza,,,,2015-09-29 03:48:19.923941,0,0,,""
59,JtH68PJIQLE,Oblivion,Grimes,,,,2015-09-29 03:48:19.923941,0,0,,""
60,JPIhUaONiLU,Often,The Weeknd,,,,2015-09-29 03:48:19.923941,0,0,,""
