id,mood,song_id,mood_id,type
1,Sad,3,4,mood
2,Party,5,5,mood
3,Party,7,5,mood
4,Instrumental,7,7,mood
5,Happy,8,3,mood
6,Sad,10,4,mood
7,Acoustic,10,6,mood
8,Party,12,5,mood
9,Party,14,5,mood
10,Acoustic,15,6,mood
11,Party,17,5,mood
12,Sad,20,4,mood
13,Party,22,5,mood
14,Sad,24,4,mood
15,Sad,27,4,mood
16,Sad,28,4,mood
17,Acoustic,28,6,mood
18,Acoustic,30,6,mood
19,Sad,31,4,mood
20,Dance,34,2,mood
21,Happy,34,3,mood
22,Party,36,5,mood
23,Instrumental,36,7,mood
24,Dance,38,2,mood
25,Sad,40,4,mood
26,Party,41,5,mood
27,Instrumental,41,7,mood
28,Happy,42,3,mood
29,Acoustic,44,6,mood
30,Sad,45,4,mood
31,Party,46,5,mood
32,Happy,47,3,mood
33,Party,49,5,mood
34,Sad,51,4,mood
35,Sad,52,4,mood
36,Sad,53,4,mood
37,Sad,54,4,mood
38,Happy,55,3,mood
39,Instrumental,57,7,mood
40,Instrumental,59,7,mood
41,Dance,61,2,mood
42,Happy,62,3,mood
43,Instrumental,62,7,mood
44,Dance,63,2,mood
45,Happy,63,3,mood
46,Party,64,5,mood
47,Instrumental,65,7,mood
48,Dance,68,2,mood
49,Happy,68,3,mood
50,Acoustic,70,6,mood
51,Chill,73,1,mood
52,Dance,76,2,mood
53,Sad,77,4,mood
54,Dance,80,2,mood
55,Sad,81,4,mood
56,Dance,84,2,mood
57,Party,84,5,mood
58,Dance,85,2,mood
59,Happy,86,3,mood
60,Sad,89,4,mood
61,Acoustic,89,6,mood
62,Sad,90,4,mood
63,Sad,91,4,mood
64,Sad,94,4,mood
65,Sad,95,4,mood
66,Sad,96,4,mood
67,Sad,97,4,mood
68,Sad,98,4,mood
69,Sad,99,4,mood
70,Sad,100,4,mood
71,Acoustic,102,6,mood
72,Happy,103,3,mood
73,Happy,105,3,mood
74,Sad,109,4,mood
75,Dance,110,2,mood
76,Party,111,5,mood
77,Dance,113,2,mood
78,Sad,114,4,mood
79,Sad,116,4,mood
80,Party,118,5,mood
81,Happy,120,3,mood
82,Acoustic,124,6,mood
83,Happy,133,3,mood
84,Happy,134,3,mood
85,Party,134,5,mood
86,Party,135,5,mood
87,Instrumental,135,7,mood
88,Sad,136,4,mood
89,Dance,139,2,mood
90,Dance,140,2,mood
91,Sad,141,4,mood
92,Sad,143,4,mood
93,Dance,144,2,mood
94,Dance,145,2,mood
95,Sad,146,4,mood
96,Dance,147,2,mood
97,Happy,147,3,mood
98,Dance,148,2,mood
99,Happy,148,3,mood
100,Party,148,5,mood
101,Instrumental,148,7,mood
102,Party,149,5,mood
103,Instrumental,150,7,mood
104,Sad,151,4,mood
105,Sad,152,4,mood
106,Sad,153,4,mood
107,Dance,156,2,mood
108,Party,156,5,mood
109,Sad,158,4,mood
110,Dance,163,2,mood
111,Sad,165,4,mood
112,Dance,166,2,mood
113,Happy,166,3,mood
114,Party,166,5,mood
115,Instrumental,167,7,mood
116,Chill,168,1,mood
117,Dance,172,2,mood
118,Party,172,5,mood
119,Instrumental,173,7,mood
120,Sad,174,4,mood
121,Dance,175,2,mood
122,Sad,177,4,mood
123,Dance,179,2,mood
124,Happy,179,3,mood
125,Dance,180,2,mood
126,Sad,180,4,mood
127,Happy,182,3,mood
128,Sad,183,4,mood
129,Party,185,5,mood
130,Party,186,5,mood
131,Sad,187,4,mood
132,Dance,189,2,mood
133,Party,189,5,mood
134,Dance,190,2,mood
135,Dance,191,2,mood
136,Party,191,5,mood
137,Happy,192,3,mood
138,Sad,194,4,mood
139,Dance,197,2,mood
140,Instrumental,197,7,mood
141,Sad,198,4,mood
142,Sad,200,4,mood
143,Dance,202,2,mood
144,Happy,202,3,mood
145,Party,202,5,mood
146,Sad,205,4,mood
147,Instrumental,205,7,mood
148,Sad,206,4,mood
149,Instrumental,209,7,mood
150,Sad,212,4,mood
151,Dance,214,2,mood
152,Party,214,5,mood
153,Sad,215,4,mood
154,Party,216,5,mood
155,Acoustic,222,6,mood
156,Happy,225,3,mood
157,Instrumental,225,7,mood
158,Dance,231,2,mood
159,Party,231,5,mood
160,Dance,232,2,mood
161,Sad,233,4,mood
162,Party,234,5,mood
163,Sad,235,4,mood
164,Chill,237,1,mood
165,Sad,237,4,mood
166,Dance,239,2,mood
167,Sad,241,4,mood
168,Happy,242,3,mood
169,Sad,243,4,mood
170,Dance,246,2,mood
171,Sad,247,4,mood
172,Sad,249,4,mood
173,Dance,250,2,mood
174,Sad,253,4,mood
175,Sad,254,4,mood
176,Sad,255,4,mood
177,Dance,256,2,mood
178,Dance,257,2,mood
179,Happy,257,3,mood
180,Party,257,5,mood
181,Happy,258,3,mood
182,Sad,259,4,mood
183,Sad,260,4,mood
184,Dance,261,2,mood
185,Sad,263,4,mood
186,Happy,264,3,mood
187,Party,264,5,mood
188,Sad,265,4,mood
189,Sad,266,4,mood
190,Sad,267,4,mood
191,Sad,268,4,mood
192,Sad,269,4,mood
193,Sad,270,4,mood
194,Party,272,5,mood
195,Acoustic,273,6,mood
196,Dance,274,2,mood
197,Sad,275,4,mood
198,Sad,276,4,mood
199,Happy,277,3,mood
200,Acoustic,277,6,mood
201,Instrumental,277,7,mood
202,Acoustic,278,6,mood
203,Chill,279,1,mood
204,Dance,279,2,mood
205,Happy,279,3,mood
206,Acoustic,279,6,mood
207,Sad,280,4,mood
208,Sad,282,4,mood
209,Sad,283,4,mood
210,Happy,284,3,mood
211,Acoustic,286,6,mood
212,Happy,287,3,mood
213,Party,287,5,mood
214,Happy,288,3,mood
215,Happy,289,3,mood
216,Happy,290,3,mood
217,Party,290,5,mood
218,Happy,291,3,mood
219,Chill,295,1,mood
220,Acoustic,295,6,mood
221,Dance,296,2,mood
222,Party,296,5,mood
223,Sad,297,4,mood
224,Dance,299,2,mood
225,Happy,299,3,mood
226,Sad,300,4,mood
227,Chill,301,1,mood
228,Sad,301,4,mood
229,Acoustic,302,6,mood
230,Instrumental,302,7,mood
231,Instrumental,303,7,mood
232,Instrumental,304,7,mood
233,Party,305,5,mood
234,Sad,306,4,mood
235,Chill,307,1,mood
236,Acoustic,309,6,mood
237,Sad,310,4,mood
238,Acoustic,310,6,mood
239,Sad,311,4,mood
240,Sad,312,4,mood
241,Sad,313,4,mood
242,Sad,314,4,mood
243,Sad,315,4,mood
244,Sad,316,4,mood
245,Dance,317,2,mood
246,Happy,317,3,mood
247,Party,317,5,mood
248,Dance,318,2,mood
249,Dance,319,2,mood
250,Happy,319,3,mood
251,Instrumental,320,7,mood
252,Instrumental,322,7,mood
253,Party,323,5,mood
254,Instrumental,323,7,mood
255,Sad,324,4,mood
256,Sad,325,4,mood
257,Sad,327,4,mood
258,Sad,328,4,mood
259,Acoustic,330,6,mood
260,Acoustic,332,6,mood
261,Sad,334,4,mood
262,Acoustic,334,6,mood
263,Sad,335,4,mood
264,Sad,336,4,mood
265,Happy,337,3,mood
266,Party,338,5,mood
267,Sad,339,4,mood
268,Acoustic,339,6,mood
269,Dance,340,2,mood
270,Dance,341,2,mood
271,Happy,341,3,mood
272,Chill,344,1,mood
273,Acoustic,344,6,mood
274,Sad,345,4,mood
275,Dance,346,2,mood
276,Happy,346,3,mood
277,Party,347,5,mood
278,Acoustic,349,6,mood
279,Sad,350,4,mood
280,Happy,351,3,mood
281,Sad,352,4,mood
282,Happy,353,3,mood
283,Sad,354,4,mood
284,Acoustic,355,6,mood
285,Party,358,5,mood
286,Sad,360,4,mood
287,Happy,361,3,mood
288,Happy,362,3,mood
289,Party,362,5,mood
290,Dance,366,2,mood
291,Happy,366,3,mood
292,Party,367,5,mood
293,Sad,368,4,mood
294,Happy,369,3,mood
295,Party,369,5,mood
296,Sad,371,4,mood
297,Happy,373,3,mood
298,Dance,374,2,mood
299,Party,374,5,mood
300,Sad,375,4,mood
301,Sad,376,4,mood
302,Party,377,5,mood
303,Instrumental,377,7,mood
304,Happy,378,3,mood
305,Happy,379,3,mood
