artist,spotify_id,id
Fatboy Slim,1234239797,9514
The Cool Kids,1234239797,9522
2Pac & Talent,1234239797,9531
OutKast,1234239797,9544
Arthur Alexander,1232728199,9767
The Tams,1232728199,9769
Percy Sledge,1232728199,9772
Arthur Conley,1232728199,9776
Spencer Wiggins,1232728199,9785
Archie Bell & The Drells,1232728199,9793
Solomon Burke,1232728199,9803
Thug Life,1232728199,9811
Craig Mack,1232728199,9821
Kendrick Lamar,1232728199,9831
Tech N9ne,1232728199,9838
Wordsplayed,1232728199,9847
Steely Dan,1232728199,9855
Beastie Boys,1232728199,9864
Ryn Weaver,1232728199,9876
James Davis,1232728199,9886
Tink,1232728199,9896
Tyga,1232728199,9909
Green Day,1232728199,9919
E-40,1232728199,9929
A$AP Rocky,1232728199,9939
Nelo,1232728199,9947
D'banj,1232728199,9956
Echo Movement,1232728199,9966
T.I.,1232728199,9973
Rich Gang,1232728199,9983
Flosstradamus,1232728199,9992
Donnie Trumpet & The Social Experiment,1232728199,10000
GoldLink,1232728199,10010
LE YOUTH,1232728199,10020
Paul McCartney,1232728199,10030
Bobby Shmurda,1232728199,10040
Mannie Fresh,1232728199,10049
Gorillaz,1232728199,10060
Charles Bradley,1232728199,10070
Michael Leonhart & The Avramina 7,1232728199,10080
Tower Of Power,1232728199,10090
Edward Sharpe & The Magnetic Zeros,1232728199,10100
Destroyer,1232728199,10110
Jamie xx,1232728199,10120
Chris Brown,1232728199,10130
Ducktails,1232728199,10140
Mumford & Sons,1232728199,10150
Beyoncé,1232728199,10161
Lorde,1232728199,10172
Lizzo,1232728199,10181
Justin Timberlake,1232728199,10189
MØ,1232728199,10199
Emeli Sandé,1232728199,10209
Ciara,1232728199,10220
Teairra Marí,1232728199,10229
Akon,1232728199,10239
J. Dash,1232728199,10250
Mike WiLL Made-It,1232728199,10259
Sisqo,1232728199,10269
Mark Ronson,1232728199,10279
The Marvelettes,1232728199,10289
Jr. Walker & The All Stars,1232728199,10299
Ann Peebles,1232728199,10309
Bettye Swann,1232728199,10319
Patty & The Emblems,1232728199,10329
Tosca,1232728199,10339
Kruder & Dorfmeister,1232728199,10349
Jack Johnson,1232728199,10359
The Shady Brothers,1232728199,10368
Jimmy Eat World,1232728199,10379
Tyler Ward & Kina Grannis,1232728199,10389
Ane Brun,1232728199,10399
Dispatch,1232728199,10410
Babyface,1232728199,10423
Bush,1232728199,10433
Ryan Adams,1232728199,10443
Speedometer,1232728199,10454
The Filthy Six,1232728199,10461
Trentemøller,1232728199,10471
K CAMP,1232728199,10481
"Tech N9ne feat. Kendrick Lamar, ¡Mayday!, Kendall Morgan",1232728199,10491
Ja Rule,1232728199,10501
Anderson East,1232728199,10511
Damien Jurado,1232728199,10522
Speaker Of The House,1232728199,10531
Passion Pit,1232728199,10538
Animal Collective,1232728199,10547
Troye Sivan,1232728199,10556
Paradise Fears,1232728199,10564
Angel Snow,1232728199,10574
Scavenger Hunt,1232728199,10585
Charles Hamilton,1234239797,9515
Foo Fighters,1234239797,9516
Kanye West,1234239797,9525
Ludacris,1234239797,9532
Faith Hill,1234239797,9541
B.o.B.,1234239797,9549
Jimmy Hughes,1232728199,9768
Joe Tex,1232728199,9770
Etta James,1232728199,9771
Aretha Franklin,1232728199,9775
The Wallace Brothers,1232728199,9784
Little Richard,1232728199,9790
King Curtis,1232728199,9798
William Bell,1232728199,9808
Skrillex,1232728199,9819
Avelino,1232728199,9829
BJ The Chicago Kid,1232728199,9840
J. Cole,1232728199,9850
Todd Rundgren,1232728199,9857
Queen,1232728199,9863
Sade,1232728199,9873
BadBadNotGood,1232728199,9883
Jazz Cartier,1232728199,9893
JAY Z,1232728199,9901
Grieves,1232728199,9911
Ace Hood,1232728199,9924
Bahamas,1232728199,9935
Ground Up,1232728199,9945
Common,1232728199,9954
Rebelution,1232728199,9965
Gucci Mane,1232728199,9974
Birdman,1232728199,9984
LION BABE,1232728199,9995
Tree,1232728199,10005
Rudimental,1232728199,10017
Flight Facilities,1232728199,10027
Snoop Dogg,1232728199,10037
Nelly,1232728199,10046
Merl Saunders,1232728199,10055
Messy Marv,1232728199,10064
KC & The Sunshine Band,1232728199,10073
Shuggie Otis,1232728199,10083
P.Court,1232728199,10095
Ratatat,1232728199,10105
Vetiver,1232728199,10114
Robby Hunter Band,1232728199,10124
Polina,1232728199,10134
Link Wray,1232728199,10144
Mott The Hoople,1232728199,10153
ASTR,1232728199,10163
Keri Hilson,1232728199,10173
Diddy - Dirty Money,1232728199,10182
Chiddy Bang,1232728199,10193
Bon Iver,1232728199,10203
B.o.B,1232728199,10213
Carmen Twillie,1232728199,10218
Reba McEntire,1232728199,10228
Nas,1232728199,10237
Waka Flocka Flame,1232728199,10248
Finatticz,1232728199,10258
Sir Mix-A-Lot,1232728199,10268
Jason Derulo,1232728199,10278
The Jackson 5,1232728199,10288
Natalie Cole,1232728199,10298
Fontella Bass,1232728199,10308
The Ronettes,1232728199,10318
Frank Wilson,1232728199,10328
Parov Stelar,1232728199,10338
Jazzanova,1232728199,10348
Echosmith,1232728199,10358
Matt Nathanson,1232728199,10369
Janelle Monáe,1232728199,10378
Jake Daniels,1232728199,10387
Paramore,1232728199,10397
Jake Coco,1232728199,10406
The Neighbourhood,1232728199,10416
No Doubt,1232728199,10427
Ingrid Michaelson,1232728199,10437
Monophonics,1232728199,10446
The Sound Stylistics,1232728199,10456
Funk Off,1232728199,10464
Röyksopp,1232728199,10473
Casey Veggies,1232728199,10484
August Alsina,1232728199,10494
Lord Huron,1232728199,10505
Empire Cast,1232728199,10514
The Wombats,1232728199,10525
Action Bronson,1232728199,10533
Maty Noyes,1232728199,10544
Dropout,1232728199,10553
Daisy,1232728199,10563
Brothertiger,1232728199,10573
The Electric Sons,1232728199,10584
Linkin Park,1234239797,9517
Kanye West & JAY Z,1234239797,9527
Phil Collins,1234239797,9535
"Kanye West, Prynce Cy Hi & Teyana Taylor",1234239797,9548
Clarence Carter,1232728199,9773
Bobby Moore & The Rhythm Aces,1232728199,9781
Willie Hightower,1232728199,9787
Eddie Floyd,1232728199,9797
The Mar-Keys,1232728199,9806
Felly,1232728199,9817
Raf Riley,1232728199,9827
"Tyler, The Creator",1232728199,9833
Lupe Fiasco,1232728199,9842
Fat Jon,1232728199,9853
Barry White,1232728199,9862
Mayer Hawthorne,1232728199,9872
Eptos Uno,1232728199,9882
Raury,1232728199,9892
Outasight,1232728199,9900
2 Chainz,1232728199,9910
Radical Something,1232728199,9920
YG,1232728199,9930
The Heavy,1232728199,9940
Intuition,1232728199,9948
Asher Roth,1232728199,9958
Nas & Damian 'Jr. Gong' Marley,1232728199,9968
K'NAAN,1232728199,9978
Diamond Rio,1232728199,9988
Variable D,1232728199,9994
Spada,1232728199,10006
ZZ Ward,1232728199,10016
Anderson Paak,1232728199,10026
2Pac,1232728199,10035
OutKast,1232728199,10045
The Black Eyed Peas,1232728199,10054
Three 6 Mafia,1232728199,10062
Vulfpeck,1232728199,10072
The Budos Band,1232728199,10082
The Stranglers,1232728199,10092
Ennio Morricone,1232728199,10102
Tame Impala,1232728199,10112
Dâm-Funk,1232728199,10122
Beach House,1232728199,10132
Lianne La Havas,1232728199,10142
Rae Sremmurd,1232728199,10148
The Chainsmokers,1232728199,10158
Jennifer Hudson,1232728199,10168
Rita Ora,1232728199,10179
Charli XCX,1232728199,10190
Tinie Tempah,1232728199,10200
Macklemore & Ryan Lewis,1232728199,10210
Jennifer Lopez,1232728199,10221
Ca$h Out,1232728199,10231
Fauley,1232728199,10240
Olivia,1232728199,10249
Miley Cyrus,1232728199,10260
2 LIVE CREW,1232728199,10270
Kreayshawn,1232728199,10280
Diplomats of Solid Sound,1232728199,10290
Mary Wells,1232728199,10300
The O'Jays,1232728199,10310
The Foundations,1232728199,10320
The Spinners,1232728199,10330
Waldeck,1232728199,10342
Fila Brazillia,1232728199,10353
Us The Duo,1232728199,10362
Birdy,1232728199,10372
King the Kid,1232728199,10384
Lindsey Stirling,1232728199,10395
Ben Howard,1232728199,10405
WALK THE MOON,1232728199,10415
Natalie Imbruglia,1232728199,10425
Lisa Loeb,1232728199,10435
Marcus Anderson,1232728199,10445
Soul Jazz Express,1232728199,10453
Jay Soto,1232728199,10462
deadmau5,1232728199,10470
Lil Jon & The East Side Boyz,1232728199,10480
Adam Levine,1232728199,10490
Ralph Tresvant,1232728199,10500
Oh Wonder,1232728199,10510
K.Flay,1232728199,10520
Alina Baraz,1232728199,10527
High Rule,1232728199,10536
Miike Snow,1232728199,10548
Misun,1232728199,10558
Royal Tongues,1232728199,10567
The Brinks,1232728199,10575
The Half Earth,1232728199,10583
"",1234239797,9518
