id,name,playlist_name,spotify_id,spotify_songid
3769,Bennie And The Jets,NULL,1257265982,0LHzd11GIXVmND7TfQnGiy
3770,Blinded By The Light,NULL,1257265982,39OPZvxdhToddt29z55Ukv
3771,Stayin' Alive,NULL,1257265982,1IwNCQBChMOyuOQfhVQYvd
3772,Have You Ever Seen The Rain,NULL,1257265982,2bPg5VMINVxErc926XcyOu
3773,(Sittin' On) The Dock Of The Bay,NULL,1257265982,50uGbeaQIxKiSc7jvRTjWx
3774,Georgia On My Mind,NULL,1257265982,0KkmIGbNiEGloUla4TK4hP
3775,House Of The Rising Sun,NULL,1257265982,61Q9oJNd9hJQFhSDh6Qlap
3776,Tighten Up - Remastered,NULL,1257265982,2pBgtxhgqevCHEnJ7W5UKI
3777,Cry Me a River,NULL,1257265982,7f6AAixCrVar1ZY7RPHDfM
3778,"Bad, Bad Leroy Brown",NULL,1257265982,7qFg0joTjCiYOvzrt9nNtg
3779,The Look,NULL,1257265982,3b4GWSS7QnzRKqH0mEYcFH
3780,Ali Baba,NULL,1257265982,3XJAnG8BqxZw1FuhSnkCMG
3781,The Greatest,NULL,1257265982,6CAG3rBGPTAinoqgVD7fBJ
3782,Sea of Love,NULL,1257265982,10rA9ND4fP1MX0Nj0iobSp
3783,It All Feels Right,NULL,1257265982,3FCmZ3ONp13Wn083Fl2K3H
3784,Beginnings,NULL,1257265982,5LMMqT3D99yFfu1DAhBj7F
3785,Hammock,NULL,1257265982,1u0QQSfvhU29Q1CANPtzP7
3786,Where We Should Be,NULL,1257265982,2gFqOO4hHaaVCikswq0Z0T
3787,Slow Down,NULL,1257265982,7wZShevmO43KjB0FX5g7mq
3788,Harvest Moon,NULL,1257265982,4r608qFvEK55vdNyOPtnwf
3789,Caught Me Thinkin,NULL,1257265982,3labT48xWDOOR5dWUUPCkk
3790,About to Die,NULL,1257265982,04TTzaHl1cHBXvAr9Y86kn
3791,No Intention,NULL,1257265982,1MNcFvlfjggW6L9J0VEhbi
3792,I Wanna Go,NULL,1257265982,3EA4HwrlLdDJ3b4cX7JfqC
3793,The Socialites,NULL,1257265982,4tFxDUeCGSUW2ooqnzdTvA
3794,Sonnentanz - Original Version,NULL,1257265982,4954TFSC8KOx7gN4Vvtdvx
3795,All Along the Watchtower,NULL,1257265982,7xdLNxZCtY68x5MAOBEmBq
3796,California Sunrise,NULL,1257265982,3EFtOwichs5seBabPVCWTL
3797,September,NULL,1257265982,5u4q8PgOpFOa5tG4yrFAzw
3798,Placid Acid,NULL,1257265982,6zCjtlfwbpn0bfNmAPJCXK
3799,I Got You Babe,NULL,1257265982,1to9REkgyVv6BX7fyWgEUj
3800,Gasoline,NULL,1257265982,55frTib3O35mjAbdyNj8me
3801,Girl,NULL,1257265982,4QFEUktWf0JfhpFr2RZc8A
3802,Feel It All Around,NULL,1257265982,0BJTbkmrB2Y4E9M8qVzbYZ
3803,Baby Blue,NULL,1257265982,1jhtxc7ON8ZzgvWGPwWXUN
3804,Stay Up! (Viagra),NULL,1257265982,32KNfFdkfw46c1jMQKVko1
3805,Venice Venture,NULL,1257265982,4IBwgoDpNG2p7EouVtFw0E
3806,The Next Afternoon,NULL,1257265982,4cea4hwM0RZTYLuscJib7K
3807,Look At Where We Are,NULL,1257265982,4SAOe47yfHPwZ05Ostw5Vw
3808,XXX 88,NULL,1257265982,6W7zmjEMTzrSUhxe8MdWLA
3809,Since I Left You,NULL,1257265982,4g9MgFNA9Kb63JRwpuMtVB
3810,Sex Karma - feat. Solange Knowles,NULL,1257265982,41axe4Ur2YeScYgPlsycIh
3811,Sittin in Hell,NULL,1257265982,3fRO2wRReohOyOWhKVQyCj
3812,Wasting Time,NULL,1257265982,6xANFc4ajkfCOCivvrtD7U
3813,Sweetest Kill,NULL,1257265982,7FvUKHMfjmeipVqjZdM2LF
3814,Let the Rhythm Just,NULL,1257265982,3fYF9nA8UKZeMc1d80dtc9
3815,I Think About U,NULL,1257265982,2kbxZPQivWhLuz0VuRKKzP
3816,Delancey,NULL,1257265982,0tJWc3RXOuli1FjEgzpCn7
3817,Paia,NULL,1257265982,1bdKosCEIvjxjty0W8Ippl
3818,Rhythm of Devotion,NULL,1257265982,6Ur2L9zwFT2H2oa5Mnafcs
3819,Uncertainty,NULL,1257265982,1v3z2M8JcHNww8rCx9oTx4
3820,Batuque (Jeremy Sole & Atropolis Remix),NULL,1257265982,4TPCmbzzf7rIFsLzcwF9pm
3821,True Affection,NULL,1257265982,4qG7NaN5VGPE2HPFKFHKCs
3822,How We Be,NULL,1257265982,3DgEeHFWREJ0TK3RiPjWwQ
3823,Métele,NULL,1257265982,1gz4Inza75qncVGaoqU2G2
3824,Caller ID,NULL,1257265982,0ygRJf2Tow4QRCLM8yKCOZ
3825,Unstoppable - FKJ Remix,NULL,1257265982,0mBe4dWMRLXvrAs8ixpmbp
3826,Tangle,NULL,1257265982,1k6JgeTeMASpbX8W5BonHi
